Id,Predicted
374,american (traditional)
375,japanese
376,chinese
377,chinese
378,mexican
379,italian
380,italian
381,chinese
382,american (traditional)
383,chinese
384,italian
385,mediterranean
386,mexican
387,chinese
388,italian
389,american (traditional)
390,american (traditional)
391,mexican
392,mexican
393,chinese
394,american (traditional)
395,japanese
396,chinese
397,american (traditional)
398,american (traditional)
399,american (traditional)
400,american (traditional)
401,mexican
402,american (traditional)
403,chinese
404,american (traditional)
405,japanese
406,american (traditional)
407,american (traditional)
408,italian
409,american (traditional)
410,chinese
411,japanese
412,italian
413,chinese
414,american (traditional)
415,chinese
416,italian
417,italian
418,chinese
419,american (traditional)
420,japanese
421,japanese
422,chinese
423,american (traditional)
424,american (traditional)
425,italian
426,american (traditional)
427,mexican
428,chinese
429,american (traditional)
430,american (traditional)
431,japanese
432,american (traditional)
433,italian
434,italian
435,american (traditional)
436,chinese
437,american (new)
438,chinese
439,american (traditional)
440,italian
441,american (traditional)
442,italian
443,chinese
444,american (traditional)
445,italian
446,american (traditional)
447,mexican
448,italian
449,japanese
450,chinese
451,american (traditional)
452,italian
453,mexican
454,mexican
455,american (traditional)
456,mexican
457,italian
458,american (traditional)
459,american (traditional)
460,american (traditional)
461,chinese
462,mexican
463,american (traditional)
464,chinese
465,italian
466,american (traditional)
467,american (traditional)
468,american (traditional)
469,mexican
470,american (traditional)
471,italian
472,chinese
473,mexican
474,american (traditional)
475,american (traditional)
476,chinese
477,mexican
478,chinese
479,mexican
480,american (traditional)
481,american (traditional)
482,italian
483,italian
484,mediterranean
485,american (traditional)
486,american (traditional)
487,mexican
488,mexican
489,american (traditional)
490,mexican
491,italian
492,american (traditional)
493,american (traditional)
494,american (traditional)
495,american (traditional)
496,italian
497,american (new)
498,mediterranean
499,mexican
500,mexican
501,chinese
502,canadian (new)
503,chinese
504,american (traditional)
505,american (traditional)
506,italian
507,chinese
508,american (traditional)
509,american (traditional)
510,italian
511,american (traditional)
512,american (traditional)
513,italian
514,american (traditional)
515,chinese
516,american (traditional)
517,italian
518,italian
519,italian
520,mexican
521,american (traditional)
522,italian
523,american (traditional)
524,american (traditional)
525,american (traditional)
526,italian
527,italian
528,chinese
529,american (traditional)
530,italian
531,american (traditional)
532,italian
533,chinese
534,italian
535,american (traditional)
536,italian
537,american (traditional)
538,mexican
539,italian
540,american (traditional)
541,american (traditional)
542,american (traditional)
543,american (traditional)
544,chinese
545,american (traditional)
546,chinese
547,american (traditional)
548,italian
549,chinese
550,american (traditional)
551,italian
552,american (traditional)
553,mexican
554,italian
555,american (traditional)
556,american (traditional)
557,italian
558,chinese
559,mexican
560,american (traditional)
561,american (traditional)
562,american (traditional)
563,american (traditional)
564,mexican
565,american (traditional)
566,american (traditional)
567,mexican
568,chinese
569,chinese
570,italian
571,american (traditional)
572,mediterranean
573,american (traditional)
574,chinese
575,american (traditional)
576,american (traditional)
577,italian
578,american (traditional)
579,canadian (new)
580,american (traditional)
581,japanese
582,american (traditional)
583,american (traditional)
584,american (traditional)
585,mexican
586,mexican
587,italian
588,japanese
589,american (traditional)
590,chinese
591,american (traditional)
592,american (traditional)
593,italian
594,italian
595,chinese
596,italian
597,italian
598,chinese
599,italian
600,american (traditional)
601,american (traditional)
602,american (traditional)
603,american (traditional)
604,american (traditional)
605,american (traditional)
606,italian
607,japanese
608,chinese
609,american (traditional)
610,mexican
611,mexican
612,american (traditional)
613,chinese
614,italian
615,chinese
616,italian
617,american (traditional)
618,american (traditional)
619,mexican
620,american (traditional)
621,chinese
622,japanese
623,american (traditional)
624,italian
625,american (traditional)
626,chinese
627,american (traditional)
628,italian
629,american (traditional)
630,american (traditional)
631,chinese
632,american (traditional)
633,mexican
634,italian
635,american (traditional)
636,american (traditional)
637,mexican
638,american (traditional)
639,mexican
640,american (traditional)
641,chinese
642,italian
643,japanese
644,chinese
645,mexican
646,japanese
647,chinese
648,mediterranean
649,italian
650,italian
651,american (traditional)
652,american (traditional)
653,american (traditional)
654,american (traditional)
655,american (traditional)
656,american (traditional)
657,american (traditional)
658,american (traditional)
659,japanese
660,american (traditional)
661,american (traditional)
662,american (traditional)
663,american (traditional)
664,chinese
665,italian
666,american (traditional)
667,chinese
668,italian
669,american (traditional)
670,mexican
671,italian
672,american (traditional)
673,italian
674,italian
675,mexican
676,italian
677,italian
678,mexican
679,american (traditional)
680,chinese
681,italian
682,italian
683,italian
684,chinese
685,italian
686,american (traditional)
687,mexican
688,mexican
689,mexican
690,american (new)
691,japanese
692,chinese
693,american (traditional)
694,american (traditional)
695,italian
696,mexican
697,italian
698,mexican
699,american (traditional)
700,mexican
701,chinese
702,chinese
703,italian
704,american (traditional)
705,mexican
706,mexican
707,mexican
708,chinese
709,american (traditional)
710,italian
711,chinese
712,mexican
713,italian
714,chinese
715,american (traditional)
716,japanese
717,italian
718,american (traditional)
719,american (traditional)
720,mediterranean
721,chinese
722,american (traditional)
723,chinese
724,american (traditional)
725,italian
726,american (traditional)
727,american (traditional)
728,italian
729,chinese
730,american (traditional)
731,italian
732,american (traditional)
733,chinese
734,chinese
735,chinese
736,italian
737,mexican
738,mexican
739,american (traditional)
740,american (traditional)
741,american (traditional)
742,american (traditional)
743,chinese
744,chinese
745,italian
746,american (traditional)
747,italian
748,american (traditional)
749,american (traditional)
750,chinese
751,japanese
752,mediterranean
753,american (traditional)
754,american (traditional)
755,italian
756,american (traditional)
757,italian
758,american (traditional)
759,chinese
760,chinese
761,chinese
762,mexican
763,american (traditional)
764,american (traditional)
765,italian
766,mexican
767,american (traditional)
768,italian
769,chinese
770,italian
771,chinese
772,italian
773,chinese
774,chinese
775,mexican
776,mexican
777,mexican
778,chinese
779,american (traditional)
780,japanese
781,american (traditional)
782,american (traditional)
783,chinese
784,american (traditional)
785,italian
786,japanese
787,american (traditional)
788,american (traditional)
789,american (traditional)
790,chinese
791,american (traditional)
792,japanese
793,japanese
794,japanese
795,chinese
796,italian
797,italian
798,american (traditional)
799,mexican
800,mexican
801,american (traditional)
802,mexican
803,japanese
804,japanese
805,american (traditional)
806,italian
807,mexican
808,italian
809,chinese
810,chinese
811,italian
812,chinese
813,mexican
814,mexican
815,mexican
816,american (traditional)
817,mexican
818,american (traditional)
819,italian
820,chinese
821,american (traditional)
822,italian
823,japanese
824,american (traditional)
825,american (traditional)
826,japanese
827,mexican
828,american (traditional)
829,chinese
830,mexican
831,american (traditional)
832,american (traditional)
833,american (traditional)
834,american (traditional)
835,american (traditional)
836,italian
837,american (traditional)
838,mexican
839,american (traditional)
840,chinese
841,american (traditional)
842,japanese
843,american (traditional)
844,mexican
845,chinese
846,mexican
847,mexican
848,japanese
849,american (traditional)
850,mexican
851,italian
852,italian
853,chinese
854,chinese
855,mexican
856,chinese
857,italian
858,american (traditional)
859,chinese
860,american (traditional)
861,american (traditional)
862,mexican
863,thai
864,mexican
865,mexican
866,mexican
867,japanese
868,mediterranean
869,mexican
870,italian
871,american (traditional)
872,italian
873,american (traditional)
874,american (traditional)
875,chinese
876,italian
877,american (traditional)
878,chinese
879,italian
880,mexican
881,japanese
882,american (traditional)
883,american (traditional)
884,american (traditional)
885,italian
886,mexican
887,american (traditional)
888,italian
889,american (traditional)
890,chinese
891,mexican
892,american (traditional)
893,italian
894,mexican
895,mexican
896,mexican
897,american (traditional)
898,chinese
899,italian
900,mexican
901,japanese
902,mexican
903,chinese
904,italian
905,italian
906,italian
907,american (traditional)
908,chinese
909,american (traditional)
910,american (traditional)
911,italian
912,italian
913,mexican
914,american (traditional)
915,american (traditional)
916,american (traditional)
917,chinese
918,american (traditional)
919,italian
920,chinese
921,mexican
922,american (traditional)
923,american (traditional)
924,mediterranean
925,japanese
926,american (traditional)
927,italian
928,american (traditional)
929,chinese
930,italian
931,american (traditional)
932,mexican
933,italian
934,american (traditional)
935,italian
936,american (traditional)
937,american (traditional)
938,american (traditional)
939,mexican
940,chinese
941,mexican
942,japanese
943,japanese
944,chinese
945,chinese
946,japanese
947,mexican
948,chinese
949,american (traditional)
950,chinese
951,mexican
952,japanese
953,mexican
954,chinese
955,italian
956,japanese
957,italian
958,chinese
959,american (traditional)
960,mexican
961,mexican
962,american (traditional)
963,italian
964,italian
965,chinese
966,italian
967,italian
968,italian
969,japanese
970,chinese
971,italian
972,chinese
973,italian
974,american (traditional)
975,italian
976,mexican
977,mexican
978,mexican
979,mexican
980,american (traditional)
981,italian
982,american (traditional)
983,american (traditional)
984,american (traditional)
985,chinese
986,mexican
987,chinese
988,chinese
989,american (traditional)
990,american (traditional)
991,mexican
992,american (traditional)
993,chinese
994,mexican
995,american (traditional)
996,american (traditional)
997,mexican
998,american (traditional)
999,american (traditional)
1000,american (traditional)
1001,mexican
1002,japanese
1003,italian
1004,mexican
1005,italian
1006,italian
1007,mexican
1008,chinese
1009,italian
1010,american (traditional)
1011,american (traditional)
1012,italian
1013,chinese
1014,american (traditional)
1015,american (traditional)
1016,american (traditional)
1017,chinese
1018,american (traditional)
1019,american (traditional)
1020,japanese
1021,chinese
1022,american (traditional)
1023,mexican
1024,american (new)
1025,chinese
1026,mexican
1027,chinese
1028,mexican
1029,italian
1030,mexican
1031,american (traditional)
1032,italian
1033,mexican
1034,american (traditional)
1035,chinese
1036,american (traditional)
1037,mexican
1038,mexican
1039,american (traditional)
1040,american (traditional)
1041,italian
1042,american (traditional)
1043,japanese
1044,mexican
1045,american (traditional)
1046,american (traditional)
1047,italian
1048,american (traditional)
1049,american (traditional)
1050,japanese
1051,mexican
1052,american (traditional)
1053,mexican
1054,italian
1055,chinese
1056,mediterranean
1057,american (traditional)
1058,chinese
1059,mexican
1060,american (traditional)
1061,american (traditional)
1062,mexican
1063,american (traditional)
1064,chinese
1065,mexican
1066,american (new)
1067,chinese
1068,american (traditional)
1069,american (traditional)
1070,italian
1071,american (traditional)
1072,mexican
1073,italian
1074,mexican
1075,american (traditional)
1076,chinese
1077,mexican
1078,american (traditional)
1079,italian
1080,italian
1081,american (traditional)
1082,japanese
1083,japanese
1084,american (traditional)
1085,american (traditional)
1086,american (traditional)
1087,mexican
1088,american (traditional)
1089,chinese
1090,mediterranean
1091,american (traditional)
1092,american (traditional)
1093,mexican
1094,japanese
1095,chinese
1096,italian
1097,american (traditional)
1098,american (traditional)
1099,american (traditional)
1100,chinese
1101,american (traditional)
1102,chinese
1103,chinese
1104,american (traditional)
1105,italian
1106,chinese
1107,chinese
1108,american (traditional)
1109,mediterranean
1110,mexican
1111,italian
1112,italian
1113,mexican
1114,japanese
1115,italian
1116,mexican
1117,chinese
1118,mexican
1119,italian
1120,american (traditional)
1121,mexican
1122,italian
1123,american (traditional)
1124,italian
1125,mexican
1126,mexican
1127,italian
1128,italian
1129,american (traditional)
1130,american (traditional)
1131,american (traditional)
1132,italian
1133,japanese
1134,italian
1135,italian
1136,american (traditional)
1137,american (traditional)
1138,chinese
1139,american (traditional)
1140,american (traditional)
1141,american (traditional)
1142,chinese
1143,american (traditional)
1144,american (traditional)
1145,italian
1146,american (traditional)
1147,american (traditional)
1148,mexican
1149,american (traditional)
1150,american (traditional)
1151,japanese
1152,american (traditional)
1153,american (traditional)
1154,chinese
1155,chinese
1156,chinese
1157,american (traditional)
1158,american (traditional)
1159,chinese
1160,american (traditional)
1161,american (traditional)
1162,chinese
1163,japanese
1164,chinese
1165,mexican
1166,chinese
1167,mexican
1168,mexican
1169,american (traditional)
1170,italian
1171,american (traditional)
1172,chinese
1173,mexican
1174,mexican
1175,italian
1176,american (traditional)
1177,american (traditional)
1178,italian
1179,american (traditional)
1180,american (traditional)
1181,mexican
1182,american (traditional)
1183,american (traditional)
1184,american (traditional)
1185,american (traditional)
1186,american (traditional)
1187,italian
1188,chinese
1189,chinese
1190,japanese
1191,american (traditional)
1192,mexican
1193,japanese
1194,chinese
1195,american (traditional)
1196,chinese
1197,american (traditional)
1198,chinese
1199,japanese
1200,american (traditional)
1201,japanese
1202,italian
1203,mexican
1204,italian
1205,chinese
1206,american (traditional)
1207,italian
1208,japanese
1209,mexican
1210,mexican
1211,japanese
1212,mexican
1213,american (traditional)
1214,chinese
1215,italian
1216,chinese
1217,american (new)
1218,italian
1219,american (traditional)
1220,american (traditional)
1221,italian
1222,american (traditional)
1223,american (traditional)
1224,american (traditional)
1225,japanese
1226,american (traditional)
1227,chinese
1228,mexican
1229,american (traditional)
1230,american (traditional)
1231,chinese
1232,american (traditional)
1233,italian
1234,italian
1235,american (traditional)
1236,chinese
1237,chinese
1238,italian
1239,chinese
1240,american (traditional)
1241,italian
1242,italian
1243,american (traditional)
1244,american (traditional)
1245,italian
1246,american (traditional)
1247,american (traditional)
1248,american (traditional)
1249,mexican
1250,american (traditional)
1251,italian
1252,chinese
1253,mexican
1254,mexican
1255,american (traditional)
1256,japanese
1257,american (traditional)
1258,chinese
1259,american (traditional)
1260,chinese
1261,mexican
1262,american (traditional)
1263,japanese
1264,american (traditional)
1265,mexican
1266,american (traditional)
1267,italian
1268,american (traditional)
1269,mexican
1270,chinese
1271,mexican
1272,mexican
1273,chinese
1274,mexican
1275,mexican
1276,mexican
1277,american (traditional)
1278,mexican
1279,american (traditional)
1280,american (traditional)
1281,italian
1282,mexican
1283,chinese
1284,american (traditional)
1285,italian
1286,mexican
1287,american (traditional)
1288,italian
1289,italian
1290,mexican
1291,italian
1292,american (traditional)
1293,american (traditional)
1294,american (traditional)
1295,italian
1296,chinese
1297,japanese
1298,chinese
1299,american (traditional)
1300,american (traditional)
1301,italian
1302,italian
1303,american (traditional)
1304,chinese
1305,italian
1306,american (traditional)
1307,chinese
1308,italian
1309,italian
1310,american (traditional)
1311,mexican
1312,american (traditional)
1313,chinese
1314,mexican
1315,mexican
1316,chinese
1317,chinese
1318,mexican
1319,american (traditional)
1320,american (traditional)
1321,mexican
1322,japanese
1323,italian
1324,mexican
1325,italian
1326,american (traditional)
1327,american (traditional)
1328,american (traditional)
1329,mexican
1330,mexican
1331,american (traditional)
1332,american (traditional)
1333,italian
1334,mexican
1335,mexican
1336,chinese
1337,japanese
1338,american (traditional)
1339,chinese
1340,american (traditional)
1341,chinese
1342,american (traditional)
1343,american (traditional)
1344,american (traditional)
1345,italian
1346,american (traditional)
1347,italian
1348,italian
1349,mexican
1350,japanese
1351,japanese
1352,american (traditional)
1353,japanese
1354,mexican
1355,italian
1356,chinese
1357,italian
1358,mexican
1359,italian
1360,italian
1361,italian
1362,chinese
1363,american (traditional)
1364,italian
1365,mexican
1366,american (traditional)
1367,american (traditional)
1368,chinese
1369,chinese
1370,american (traditional)
1371,mexican
1372,american (traditional)
1373,chinese
1374,chinese
1375,italian
1376,american (traditional)
1377,american (traditional)
1378,american (traditional)
1379,italian
1380,chinese
1381,italian
1382,american (traditional)
1383,chinese
1384,chinese
1385,italian
1386,japanese
1387,american (traditional)
1388,american (traditional)
1389,japanese
1390,italian
1391,chinese
1392,american (traditional)
1393,american (traditional)
1394,mexican
1395,american (traditional)
1396,italian
1397,italian
1398,mexican
1399,mexican
1400,italian
1401,american (traditional)
1402,american (traditional)
1403,chinese
1404,american (traditional)
1405,american (traditional)
1406,american (traditional)
1407,italian
1408,italian
1409,italian
1410,italian
1411,american (traditional)
1412,chinese
1413,american (traditional)
1414,mexican
1415,american (traditional)
1416,american (traditional)
1417,american (traditional)
1418,mexican
1419,american (traditional)
1420,american (traditional)
1421,american (traditional)
1422,mexican
1423,american (traditional)
1424,american (traditional)
1425,chinese
1426,american (traditional)
1427,american (traditional)
1428,chinese
1429,american (traditional)
1430,chinese
1431,american (traditional)
1432,american (traditional)
1433,american (traditional)
1434,american (traditional)
1435,italian
1436,mexican
1437,chinese
1438,american (traditional)
1439,american (traditional)
1440,mexican
1441,chinese
1442,american (traditional)
1443,mexican
1444,chinese
1445,italian
1446,american (traditional)
1447,american (traditional)
1448,american (traditional)
1449,mexican
1450,american (traditional)
1451,chinese
1452,american (traditional)
1453,mexican
1454,chinese
1455,american (traditional)
1456,mexican
1457,american (traditional)
1458,chinese
1459,mediterranean
1460,chinese
1461,american (traditional)
1462,american (traditional)
1463,mexican
1464,american (traditional)
1465,italian
1466,american (traditional)
1467,american (traditional)
1468,american (traditional)
1469,mediterranean
1470,american (traditional)
1471,chinese
1472,american (traditional)
1473,american (traditional)
1474,american (traditional)
1475,italian
1476,mexican
1477,italian
1478,american (traditional)
1479,italian
1480,mexican
1481,chinese
1482,american (traditional)
1483,american (traditional)
1484,american (traditional)
1485,american (traditional)
1486,italian
1487,mexican
1488,chinese
1489,japanese
1490,american (traditional)
1491,italian
1492,american (traditional)
1493,american (traditional)
1494,italian
1495,italian
1496,mexican
1497,chinese
1498,american (traditional)
1499,american (traditional)
1500,mexican
1501,chinese
1502,american (traditional)
1503,mexican
1504,canadian (new)
1505,american (traditional)
1506,american (traditional)
1507,mexican
1508,american (traditional)
1509,american (traditional)
1510,italian
1511,chinese
1512,american (traditional)
1513,italian
1514,chinese
1515,american (traditional)
1516,american (traditional)
1517,japanese
1518,american (traditional)
1519,chinese
1520,japanese
1521,italian
1522,chinese
1523,american (traditional)
1524,chinese
1525,italian
1526,american (traditional)
1527,american (traditional)
1528,american (traditional)
1529,chinese
1530,chinese
1531,american (traditional)
1532,american (traditional)
1533,american (traditional)
1534,italian
1535,chinese
1536,japanese
1537,chinese
1538,american (traditional)
1539,american (traditional)
1540,mexican
1541,italian
1542,american (traditional)
1543,american (traditional)
1544,american (traditional)
1545,italian
1546,american (traditional)
1547,mexican
1548,chinese
1549,american (traditional)
1550,chinese
1551,chinese
1552,chinese
1553,italian
1554,american (traditional)
1555,american (traditional)
1556,chinese
1557,american (traditional)
1558,american (traditional)
1559,chinese
1560,american (traditional)
1561,american (traditional)
1562,american (traditional)
1563,chinese
1564,italian
1565,italian
1566,american (traditional)
1567,american (traditional)
1568,italian
1569,american (traditional)
1570,chinese
1571,italian
1572,american (new)
1573,american (traditional)
1574,canadian (new)
1575,italian
1576,italian
1577,italian
1578,chinese
1579,chinese
1580,mexican
1581,american (traditional)
1582,american (traditional)
1583,mexican
1584,italian
1585,american (traditional)
1586,japanese
1587,chinese
1588,mexican
1589,american (traditional)
1590,chinese
1591,american (traditional)
1592,american (traditional)
1593,chinese
1594,american (traditional)
1595,mexican
1596,american (traditional)
1597,american (traditional)
1598,mexican
1599,chinese
1600,american (traditional)
1601,mexican
1602,italian
1603,italian
1604,italian
1605,american (traditional)
1606,american (traditional)
1607,chinese
1608,chinese
1609,american (traditional)
1610,american (traditional)
1611,mexican
1612,chinese
1613,american (traditional)
1614,mexican
1615,american (traditional)
1616,american (traditional)
1617,mexican
1618,american (traditional)
1619,italian
1620,american (traditional)
1621,canadian (new)
1622,american (traditional)
1623,italian
1624,american (traditional)
1625,american (traditional)
1626,chinese
1627,mexican
1628,italian
1629,italian
1630,american (traditional)
1631,american (traditional)
1632,mexican
1633,american (traditional)
1634,japanese
1635,american (traditional)
1636,italian
1637,american (traditional)
1638,chinese
1639,american (traditional)
1640,mexican
1641,american (traditional)
1642,chinese
1643,italian
1644,american (traditional)
1645,american (traditional)
1646,italian
1647,chinese
1648,american (traditional)
1649,american (traditional)
1650,italian
1651,american (traditional)
1652,american (traditional)
1653,italian
1654,american (traditional)
1655,chinese
1656,chinese
1657,chinese
1658,chinese
1659,italian
1660,mexican
1661,mexican
1662,chinese
1663,japanese
1664,japanese
1665,american (traditional)
1666,italian
1667,japanese
1668,american (traditional)
1669,american (traditional)
1670,mexican
1671,mexican
1672,mexican
1673,american (traditional)
1674,italian
1675,chinese
1676,italian
1677,american (traditional)
1678,italian
1679,chinese
1680,american (traditional)
1681,american (traditional)
1682,italian
1683,chinese
1684,american (traditional)
1685,italian
1686,chinese
1687,italian
1688,japanese
1689,mexican
1690,american (traditional)
1691,chinese
1692,american (new)
1693,american (traditional)
1694,mexican
1695,american (traditional)
1696,japanese
1697,american (traditional)
1698,american (traditional)
1699,mexican
1700,american (traditional)
1701,mexican
1702,mexican
1703,mexican
1704,mexican
1705,american (traditional)
1706,american (traditional)
1707,american (traditional)
1708,american (traditional)
1709,american (new)
1710,american (traditional)
1711,american (traditional)
1712,mexican
1713,chinese
1714,japanese
1715,mexican
1716,chinese
1717,mexican
1718,american (traditional)
1719,mexican
1720,chinese
1721,american (traditional)
1722,italian
1723,chinese
1724,american (traditional)
1725,italian
1726,italian
1727,american (traditional)
1728,american (traditional)
1729,japanese
1730,chinese
1731,american (traditional)
1732,american (traditional)
1733,american (traditional)
1734,italian
1735,chinese
1736,american (traditional)
1737,american (traditional)
1738,italian
1739,american (traditional)
1740,chinese
1741,american (traditional)
1742,chinese
1743,chinese
1744,italian
1745,mexican
1746,italian
1747,american (new)
1748,japanese
1749,american (traditional)
1750,american (traditional)
1751,american (traditional)
1752,american (traditional)
1753,italian
1754,italian
1755,american (traditional)
1756,american (traditional)
1757,american (traditional)
1758,american (traditional)
1759,chinese
1760,american (traditional)
1761,chinese
1762,mexican
1763,chinese
1764,mexican
1765,american (traditional)
1766,american (traditional)
1767,chinese
1768,japanese
1769,chinese
1770,mexican
1771,american (traditional)
1772,chinese
1773,mediterranean
1774,american (traditional)
1775,mexican
1776,american (traditional)
1777,chinese
1778,american (traditional)
1779,mexican
1780,italian
1781,italian
1782,american (traditional)
1783,american (traditional)
1784,italian
1785,american (traditional)
1786,chinese
1787,japanese
1788,american (traditional)
1789,chinese
1790,mexican
1791,chinese
1792,mexican
1793,canadian (new)
1794,mexican
1795,mexican
1796,american (traditional)
1797,mexican
1798,american (traditional)
1799,american (traditional)
1800,italian
1801,italian
1802,mexican
1803,american (traditional)
1804,american (traditional)
1805,italian
1806,american (traditional)
1807,chinese
1808,chinese
1809,mexican
1810,american (traditional)
1811,mexican
1812,american (traditional)
1813,american (traditional)
1814,american (traditional)
1815,american (traditional)
1816,italian
1817,italian
1818,italian
1819,chinese
1820,american (traditional)
1821,american (traditional)
1822,italian
1823,mexican
1824,chinese
1825,italian
1826,american (traditional)
1827,american (traditional)
1828,italian
1829,american (traditional)
1830,american (traditional)
1831,japanese
1832,american (traditional)
1833,american (traditional)
1834,american (traditional)
1835,mediterranean
1836,chinese
1837,italian
1838,mexican
1839,chinese
1840,american (traditional)
1841,italian
1842,italian
1843,japanese
1844,american (traditional)
1845,italian
1846,mexican
1847,american (traditional)
1848,american (traditional)
1849,american (traditional)
1850,chinese
1851,chinese
1852,american (traditional)
1853,japanese
1854,american (traditional)
1855,italian
1856,chinese
1857,american (traditional)
1858,chinese
1859,mexican
1860,chinese
1861,american (traditional)
1862,chinese
1863,italian
1864,chinese
1865,chinese
1866,mexican
1867,italian
1868,american (traditional)
1869,american (traditional)
1870,japanese
